id,icao24,flt_id,dof,adep,ades,adep_p,ades_p,registration,model,typecode,icao_aircraft_class,icao_operator,first_seen,last_seen,version,unix_time
44700323079016944,4692cd,AEE123  ,2025-06-09,LGTS,LGAV,,,SX-DVM,A320 232,A320,L2J,AEE,2025-06-09 17:10:25,2025-06-09 17:43:20,v2.0.0,1749489025
122155061639265417,4690f9,AEE580  ,2025-06-12,LGTS,LGRP,,,SX-DGY,A320 232SL,A320,L2J,AEE,2025-06-12 11:03:35,2025-06-12 12:02:25,v2.0.0,1749726215
130405833135254370,46d2f2,SEH2HG  ,2025-06-04,LGAV,LGTS,,,SX-TWR,ATR72-600,AT76,,SEH,2025-06-04 08:37:25,2025-06-04 09:50:40,v2.0.0,1749026245
143794723070435936,46ced4,SEH03P  ,2025-06-15,LGTS,LGAV,,,SX-SVT,ATR 72-600,AT76,L2T,SXR,2025-06-15 14:56:40,2025-06-15 15:42:20,v2.0.0,1749999400
144720327985134517,46da6c,SEH281  ,2025-06-10,LGRP,LGAV,,,SX-VSL,,A320,L2J,,2025-06-10 06:05:55,2025-06-10 06:59:55,v2.0.0,1749535555
199468339941357508,4690fa,AEE83W  ,2025-06-12,LGTS,LGAV,,,SX-DGZ,A320 232SL,A320,L2J,AEE,2025-06-12 10:12:55,2025-06-12 10:54:25,v2.0.0,1749723175
337049801158597560,4691c5,AEE581  ,2025-06-16,LGRP,LGTS,,,SX-DNE,Airbus A320 232SL,A320,L2J,AEE,2025-06-16 12:59:50,2025-06-16 14:01:00,v2.0.0,1750078790
431180476832583857,4690e2,AEE581  ,2025-06-02,LGRP,LGTS,,,SX-DGB,A320 232,A320,L2J,AEE,2025-06-02 13:13:45,2025-06-02 14:15:55,v2.0.0,1748870025
507301661050873676,4690e2,AEE129  ,2025-06-19,LGTS,LGAV,,,SX-DGB,A320 232,A320,L2J,AEE,2025-06-19 21:07:05,2025-06-19 21:41:55,v2.0.0,1750367225
516997138149836804,46b826,AEE119  ,2025-06-01,LGTS,LGAV,,,SX-NAF,,A21N,L2J,,2025-06-01 14:00:50,2025-06-01 14:34:00,v2.0.0,1748786450
563069914567955346,46b8b3,AEE127  ,2025-06-13,LGTS,LGAV,,,SX-NES,Airbus A320-271N,A20N,,AEE,2025-06-13 19:51:10,2025-06-13 20:33:20,v2.0.0,1749844270
686758251590510811,4692d6,AEE127  ,2025-06-24,LGTS,LGAV,,,SX-DVV,A320 232,A320,L2J,AEE,2025-06-24 19:03:50,2025-06-24 19:42:10,v2.0.0,1750791830
791695851711060782,4690fa,AEE107  ,2025-06-17,LGTS,LGAV,,,SX-DGZ,A320 232SL,A320,L2J,AEE,2025-06-17 06:25:50,2025-06-17 07:14:20,v2.0.0,1750141550
864521503710947524,46a5e7,SEH3GK  ,2025-06-17,LGTS,LGAV,,,SX-IOG,,A20N,L2J,,2025-06-17 16:08:30,2025-06-17 16:47:50,v2.0.0,1750176510
922861418028859596,4691c5,AEE580  ,2025-06-16,LGTS,LGRP,,,SX-DNE,Airbus A320 232SL,A320,L2J,AEE,2025-06-16 11:13:25,2025-06-16 12:09:55,v2.0.0,1750072405
1122996638747939624,4692d6,AEE581  ,2025-06-20,LGRP,LGTS,,,SX-DVV,A320 232,A320,L2J,AEE,2025-06-20 13:02:20,2025-06-20 14:02:30,v2.0.0,1750424540
